EventID,CaseID,Timestamp,Activity,PriorityLevel,FileSize,ProcessingTime,Resource,refined_Activity
814,C00104_r2,2025-01-01 11:29:05,Accept submission,1,922,145.6,Head Manager Assistant,Accept submission
815,C00104_r1,2025-01-01 11:29:05,Complete process,0,0,0.0,System,Complete process
816,C00104_r2,2025-01-01 11:29:06,Complete process,0,0,0.0,System,Complete process
817,C00105_r0,2025-01-01 11:30:00,Submit application,2,81,48.0,Junior Staff,Submit application
818,C00105_r0,2025-01-01 11:30:01,Review submission,8,850,100.0,Reviewer,Review submission
819,C00105_r1,2025-01-01 11:30:01,Submit application,2,81,48.0,Junior Staff,Submit application
820,C00105_r2,2025-01-01 11:30:02,Submit application,2,81,48.0,Junior Staff,Submit application
821,C00105_r1,2025-01-01 11:30:02,Review submission,8,850,100.0,Reviewer,Review submission
822,C00105_r2,2025-01-01 11:30:03,Review submission,8,850,100.0,Reviewer,Review submission
823,C00105_r0,2025-01-01 11:31:00,Approve application,2,130,20.0,Manager,Approve application
824,C00105_r1,2025-01-01 11:31:01,Disapprove application,2,130,20.0,review_board,Disapprove application
825,C00105_r0,2025-01-01 11:31:01,Complete process,0,0,0.0,System,Complete process
826,C00105_r1,2025-01-01 11:31:02,Revise document,8,932,182.0,Supervisor,Revise document
827,C00105_r2,2025-01-01 11:31:02,Disapprove application,2,130,20.0,review_board,Disapprove application
828,C00105_r1,2025-01-01 11:31:03,Submit application,9,7830,191.2,Supervisor,Submit application
829,C00105_r2,2025-01-01 11:31:03,Revise document,8,932,182.0,Supervisor,Revise document
830,C00105_r1,2025-01-01 11:31:04,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
831,C00105_r2,2025-01-01 11:31:04,Submit application,10,5869,200.4,Supervisor,Submit application
832,C00105_r1,2025-01-01 11:31:05,Complete process,0,0,0.0,System,Complete process
833,C00105_r2,2025-01-01 11:31:05,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
834,C00105_r2,2025-01-01 11:31:06,Complete process,0,0,0.0,System,Complete process
835,C00107_r0,2025-01-01 11:32:00,Start process,5,10,10.0,System,Start process
836,C00107_r1,2025-01-01 11:32:01,Start process,5,10,10.0,System,Start process
837,C00107_r2,2025-01-01 11:32:02,Start process,5,10,10.0,System,Start process
838,C00107_r0,2025-01-01 11:33:00,Check document,2,120,30.0,Clerk,Check document
839,C00107_r1,2025-01-01 11:33:01,Check document,2,120,30.0,Clerk,Check document
840,C00107_r2,2025-01-01 11:33:02,Check document,2,120,30.0,Clerk,Check document
841,C00107_r0,2025-01-01 11:34:00,Submit application,3,137,54.0,Clerk,Submit application
842,C00107_r0,2025-01-01 11:34:01,Review submission,8,850,100.0,Reviewer,Review submission
843,C00107_r1,2025-01-01 11:34:01,Submit application,3,137,54.0,Clerk,Submit application
844,C00107_r2,2025-01-01 11:34:02,Submit application,3,137,54.0,Clerk,Submit application
845,C00107_r1,2025-01-01 11:34:02,Review submission,8,850,100.0,Reviewer,Review submission
846,C00107_r2,2025-01-01 11:34:03,Review submission,8,850,100.0,Reviewer,Review submission
847,C00107_r0,2025-01-01 11:35:00,Disapprove application,2,130,20.0,review_board,Disapprove application
848,C00107_r0,2025-01-01 11:35:01,Revise document,8,932,182.0,Supervisor,Revise document
849,C00107_r1,2025-01-01 11:35:01,Disapprove application,2,130,20.0,review_board,Disapprove application
850,C00107_r2,2025-01-01 11:35:02,Approve application,2,130,20.0,Manager,Approve application
851,C00107_r1,2025-01-01 11:35:02,Revise document,8,932,182.0,Supervisor,Revise document
852,C00107_r0,2025-01-01 11:35:02,Submit application,9,4795,231.6,Senior Analyst,Submit application
853,C00107_r1,2025-01-01 11:35:03,Submit application,8,847,204.9,Senior Analyst,Submit application
854,C00107_r0,2025-01-01 11:35:03,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
855,C00107_r2,2025-01-01 11:35:03,Complete process,0,0,0.0,System,Complete process
856,C00107_r1,2025-01-01 11:35:04,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
857,C00107_r0,2025-01-01 11:35:04,Complete process,0,0,0.0,System,Complete process
858,C00107_r1,2025-01-01 11:35:05,Complete process,0,0,0.0,System,Complete process
859,C00109_r0,2025-01-01 11:36:00,Start process,5,10,10.0,System,Start process
860,C00109_r1,2025-01-01 11:36:01,Start process,5,10,10.0,System,Start process
861,C00109_r2,2025-01-01 11:36:02,Start process,5,10,10.0,System,Start process
862,C00109_r0,2025-01-01 11:37:00,Check document,2,120,30.0,Clerk,Check document
863,C00109_r1,2025-01-01 11:37:01,Check document,2,120,30.0,Clerk,Check document
864,C00109_r2,2025-01-01 11:37:02,Check document,2,120,30.0,Clerk,Check document
865,C00109_r0,2025-01-01 11:38:00,Submit application,1,106,36.0,Clerk,Submit application
866,C00109_r1,2025-01-01 11:38:01,Submit application,1,106,36.0,Clerk,Submit application
867,C00109_r0,2025-01-01 11:38:01,Review submission,8,850,100.0,Reviewer,Review submission
868,C00109_r2,2025-01-01 11:38:02,Submit application,1,106,36.0,Clerk,Submit application
869,C00109_r1,2025-01-01 11:38:02,Review submission,8,850,100.0,Reviewer,Review submission
870,C00109_r2,2025-01-01 11:38:03,Review submission,8,850,100.0,Reviewer,Review submission
871,C00109_r0,2025-01-01 11:39:00,Disapprove application,2,130,20.0,review_board,Disapprove application
872,C00109_r1,2025-01-01 11:39:01,Approve application,2,130,20.0,Manager,Approve application
873,C00109_r0,2025-01-01 11:39:01,Revise document,8,932,182.0,Supervisor,Revise document
874,C00109_r1,2025-01-01 11:39:02,Complete process,0,0,0.0,System,Complete process
875,C00109_r0,2025-01-01 11:39:02,Submit application,11,5449,249.2,Supervisor,Submit application
876,C00109_r2,2025-01-01 11:39:02,Disapprove application,2,130,20.0,review_board,Disapprove application
877,C00109_r0,2025-01-01 11:39:03,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
878,C00109_r2,2025-01-01 11:39:03,Revise document,8,932,182.0,Supervisor,Revise document
879,C00109_r0,2025-01-01 11:39:04,Complete process,0,0,0.0,System,Complete process
880,C00109_r2,2025-01-01 11:39:04,Submit application,11,3031,217.9,Supervisor,Submit application
881,C00109_r2,2025-01-01 11:39:05,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
882,C00109_r2,2025-01-01 11:39:06,Complete process,0,0,0.0,System,Complete process
883,C00113_r0,2025-01-01 11:44:00,Start process,5,10,10.0,System,Start process
884,C00113_r1,2025-01-01 11:44:01,Start process,5,10,10.0,System,Start process
885,C00113_r2,2025-01-01 11:44:02,Start process,5,10,10.0,System,Start process
886,C00113_r0,2025-01-01 11:45:00,Check document,2,120,30.0,Clerk,Check document
887,C00113_r1,2025-01-01 11:45:01,Check document,2,120,30.0,Clerk,Check document
888,C00113_r2,2025-01-01 11:45:02,Check document,2,120,30.0,Clerk,Check document
889,C00114_r0,2025-01-01 11:46:00,Start process,5,10,10.0,System,Start process
890,C00113_r0,2025-01-01 11:46:00,Submit application,1,136,40.0,Junior Staff,Submit application
891,C00114_r1,2025-01-01 11:46:01,Start process,5,10,10.0,System,Start process
892,C00113_r0,2025-01-01 11:46:01,Review submission,8,850,100.0,Reviewer,Review submission
893,C00113_r1,2025-01-01 11:46:01,Submit application,1,136,40.0,Junior Staff,Submit application
894,C00113_r1,2025-01-01 11:46:02,Review submission,8,850,100.0,Reviewer,Review submission
895,C00113_r2,2025-01-01 11:46:02,Submit application,1,136,40.0,Junior Staff,Submit application
896,C00114_r2,2025-01-01 11:46:02,Start process,5,10,10.0,System,Start process
897,C00113_r2,2025-01-01 11:46:03,Review submission,8,850,100.0,Reviewer,Review submission
898,C00114_r0,2025-01-01 11:47:00,Check document,2,120,30.0,Clerk,Check document
899,C00113_r0,2025-01-01 11:47:00,Disapprove application,2,130,20.0,review_board,Disapprove application
900,C00114_r1,2025-01-01 11:47:01,Check document,2,120,30.0,Clerk,Check document
901,C00113_r0,2025-01-01 11:47:01,Revise document,8,932,182.0,Supervisor,Revise document
902,C00113_r1,2025-01-01 11:47:01,Approve application,2,130,20.0,Manager,Approve application
903,C00114_r2,2025-01-01 11:47:02,Check document,2,120,30.0,Clerk,Check document
904,C00113_r2,2025-01-01 11:47:02,Approve application,2,130,20.0,Manager,Approve application
905,C00113_r1,2025-01-01 11:47:02,Complete process,0,0,0.0,System,Complete process
906,C00113_r0,2025-01-01 11:47:02,Submit application,8,1810,192.2,Supervisor,Submit application
907,C00113_r2,2025-01-01 11:47:03,Complete process,0,0,0.0,System,Complete process
908,C00113_r0,2025-01-01 11:47:03,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
909,C00113_r0,2025-01-01 11:47:04,Complete process,0,0,0.0,System,Complete process
910,C00114_r0,2025-01-01 11:48:00,Submit application,1,89,46.0,Junior Staff,Submit application
911,C00114_r0,2025-01-01 11:48:01,Review submission,8,850,100.0,Reviewer,Review submission
912,C00114_r1,2025-01-01 11:48:01,Submit application,1,89,46.0,Junior Staff,Submit application
913,C00114_r1,2025-01-01 11:48:02,Review submission,8,850,100.0,Reviewer,Review submission
914,C00114_r2,2025-01-01 11:48:02,Submit application,1,89,46.0,Junior Staff,Submit application
915,C00114_r2,2025-01-01 11:48:03,Review submission,8,850,100.0,Reviewer,Review submission
916,C00114_r0,2025-01-01 11:49:00,Approve application,2,130,20.0,Manager,Approve application
917,C00114_r1,2025-01-01 11:49:01,Disapprove application,2,130,20.0,review_board,Disapprove application
918,C00114_r0,2025-01-01 11:49:01,Complete process,0,0,0.0,System,Complete process
919,C00114_r1,2025-01-01 11:49:02,Revise document,8,932,182.0,Supervisor,Revise document
920,C00114_r2,2025-01-01 11:49:02,Disapprove application,2,130,20.0,review_board,Disapprove application
921,C00114_r2,2025-01-01 11:49:03,Revise document,8,932,182.0,Supervisor,Revise document
922,C00114_r1,2025-01-01 11:49:03,Submit application,8,4288,241.1,Senior Analyst,Submit application
923,C00114_r1,2025-01-01 11:49:04,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
924,C00114_r2,2025-01-01 11:49:04,Submit application,10,5936,203.1,Supervisor,Submit application
925,C00114_r2,2025-01-01 11:49:05,Accept submission,1,922,145.6,Head Manager Assistant,Accept submission
926,C00114_r1,2025-01-01 11:49:05,Complete process,0,0,0.0,System,Complete process
927,C00114_r2,2025-01-01 11:49:06,Complete process,0,0,0.0,System,Complete process
928,C00122_r0,2025-01-01 12:02:00,Start process,5,10,10.0,System,Start process
929,C00122_r1,2025-01-01 12:02:01,Start process,5,10,10.0,System,Start process
930,C00122_r2,2025-01-01 12:02:02,Start process,5,10,10.0,System,Start process
931,C00122_r0,2025-01-01 12:03:00,Check document,2,120,30.0,Clerk,Check document
932,C00122_r1,2025-01-01 12:03:01,Check document,2,120,30.0,Clerk,Check document
933,C00122_r2,2025-01-01 12:03:02,Check document,2,120,30.0,Clerk,Check document
934,C00122_r0,2025-01-01 12:04:00,Submit application,1,120,49.0,Junior Staff,Submit application
935,C00122_r0,2025-01-01 12:04:01,Review submission,8,850,100.0,Reviewer,Review submission
936,C00122_r1,2025-01-01 12:04:01,Submit application,1,120,49.0,Junior Staff,Submit application
937,C00122_r2,2025-01-01 12:04:02,Submit application,1,120,49.0,Junior Staff,Submit application
938,C00122_r1,2025-01-01 12:04:02,Review submission,8,850,100.0,Reviewer,Review submission
939,C00122_r2,2025-01-01 12:04:03,Review submission,8,850,100.0,Reviewer,Review submission
940,C00122_r0,2025-01-01 12:05:00,Disapprove application,2,130,20.0,review_board,Disapprove application
941,C00122_r1,2025-01-01 12:05:01,Disapprove application,2,130,20.0,review_board,Disapprove application
942,C00122_r0,2025-01-01 12:05:01,Revise document,8,932,182.0,Supervisor,Revise document
943,C00122_r1,2025-01-01 12:05:02,Revise document,8,932,182.0,Supervisor,Revise document
944,C00122_r0,2025-01-01 12:05:02,Submit application,8,4225,244.0,Supervisor,Submit application
945,C00122_r2,2025-01-01 12:05:02,Disapprove application,2,130,20.0,review_board,Disapprove application
948,C00122_r1,2025-01-01 12:05:03,Submit application,10,8113,187.6,Supervisor,Submit application
946,C00122_r0,2025-01-01 12:05:03,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
947,C00122_r2,2025-01-01 12:05:03,Revise document,8,932,182.0,Supervisor,Revise document
949,C00122_r1,2025-01-01 12:05:04,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
950,C00122_r0,2025-01-01 12:05:04,Complete process,0,0,0.0,System,Complete process
951,C00122_r2,2025-01-01 12:05:04,Submit application,8,9149,224.5,Senior Analyst,Submit application
952,C00122_r2,2025-01-01 12:05:05,Accept submission,1,922,145.6,Head Manager Assistant,Accept submission
953,C00122_r1,2025-01-01 12:05:05,Complete process,0,0,0.0,System,Complete process
954,C00122_r2,2025-01-01 12:05:06,Complete process,0,0,0.0,System,Complete process
955,C00127_r0,2025-01-01 12:12:00,Start process,5,10,10.0,System,Start process
956,C00127_r1,2025-01-01 12:12:01,Start process,5,10,10.0,System,Start process
957,C00127_r2,2025-01-01 12:12:02,Start process,5,10,10.0,System,Start process
958,C00127_r0,2025-01-01 12:13:00,Check document,2,120,30.0,Clerk,Check document
959,C00127_r1,2025-01-01 12:13:01,Check document,2,120,30.0,Clerk,Check document
960,C00127_r2,2025-01-01 12:13:02,Check document,2,120,30.0,Clerk,Check document
961,C00127_r0,2025-01-01 12:14:00,Submit application,1,91,53.0,Junior Staff,Submit application
962,C00128_r0,2025-01-01 12:14:00,Start process,5,10,10.0,System,Start process
963,C00128_r1,2025-01-01 12:14:01,Start process,5,10,10.0,System,Start process
964,C00127_r0,2025-01-01 12:14:01,Review submission,8,850,100.0,Reviewer,Review submission
965,C00127_r1,2025-01-01 12:14:01,Submit application,1,91,53.0,Junior Staff,Submit application
966,C00128_r2,2025-01-01 12:14:02,Start process,5,10,10.0,System,Start process
967,C00127_r1,2025-01-01 12:14:02,Review submission,8,850,100.0,Reviewer,Review submission
968,C00127_r2,2025-01-01 12:14:02,Submit application,1,91,53.0,Junior Staff,Submit application
969,C00127_r2,2025-01-01 12:14:03,Review submission,8,850,100.0,Reviewer,Review submission
970,C00127_r0,2025-01-01 12:15:00,Disapprove application,2,130,20.0,review_board,Disapprove application
971,C00128_r0,2025-01-01 12:15:00,Check document,2,120,30.0,Clerk,Check document
972,C00128_r1,2025-01-01 12:15:01,Check document,2,120,30.0,Clerk,Check document
973,C00127_r1,2025-01-01 12:15:01,Approve application,2,130,20.0,Manager,Approve application
974,C00127_r0,2025-01-01 12:15:01,Revise document,8,932,182.0,Supervisor,Revise document
975,C00127_r0,2025-01-01 12:15:02,Submit application,11,8983,196.4,Senior Analyst,Submit application
976,C00128_r2,2025-01-01 12:15:02,Check document,2,120,30.0,Clerk,Check document
977,C00127_r1,2025-01-01 12:15:02,Complete process,0,0,0.0,System,Complete process
978,C00127_r2,2025-01-01 12:15:02,Approve application,2,130,20.0,Manager,Approve application
979,C00127_r0,2025-01-01 12:15:03,Accept submission,1,922,145.6,Head Manager Assistant,Accept submission
980,C00127_r2,2025-01-01 12:15:03,Complete process,0,0,0.0,System,Complete process
981,C00127_r0,2025-01-01 12:15:04,Complete process,0,0,0.0,System,Complete process
982,C00128_r0,2025-01-01 12:16:00,Submit application,3,98,49.0,Junior Staff,Submit application
983,C00128_r0,2025-01-01 12:16:01,Review submission,8,850,100.0,Reviewer,Review submission
984,C00128_r1,2025-01-01 12:16:01,Submit application,3,98,49.0,Junior Staff,Submit application
985,C00128_r1,2025-01-01 12:16:02,Review submission,8,850,100.0,Reviewer,Review submission
986,C00128_r2,2025-01-01 12:16:02,Submit application,3,98,49.0,Junior Staff,Submit application
987,C00128_r2,2025-01-01 12:16:03,Review submission,8,850,100.0,Reviewer,Review submission
988,C00128_r0,2025-01-01 12:17:00,Approve application,2,130,20.0,Manager,Approve application
989,C00128_r0,2025-01-01 12:17:01,Complete process,0,0,0.0,System,Complete process
990,C00128_r1,2025-01-01 12:17:01,Disapprove application,2,130,20.0,review_board,Disapprove application
991,C00128_r1,2025-01-01 12:17:02,Revise document,8,932,182.0,Supervisor,Revise document
992,C00128_r2,2025-01-01 12:17:02,Approve application,2,130,20.0,Manager,Approve application
993,C00128_r1,2025-01-01 12:17:03,Submit application,12,4760,245.8,Senior Analyst,Submit application
994,C00128_r2,2025-01-01 12:17:03,Complete process,0,0,0.0,System,Complete process
995,C00128_r1,2025-01-01 12:17:04,Accept submission,1,922,145.6,Head Manager Assistant,Accept submission
996,C00128_r1,2025-01-01 12:17:05,Complete process,0,0,0.0,System,Complete process
997,C00134_r0,2025-01-01 12:26:00,Start process,5,10,10.0,System,Start process
998,C00134_r1,2025-01-01 12:26:01,Start process,5,10,10.0,System,Start process
999,C00134_r2,2025-01-01 12:26:02,Start process,5,10,10.0,System,Start process
1000,C00134_r0,2025-01-01 12:27:00,Check document,2,120,30.0,Clerk,Check document
1001,C00134_r1,2025-01-01 12:27:01,Check document,2,120,30.0,Clerk,Check document
1002,C00134_r2,2025-01-01 12:27:02,Check document,2,120,30.0,Clerk,Check document
1003,C00134_r0,2025-01-01 12:28:00,Submit application,2,142,45.0,Junior Staff,Submit application
1004,C00134_r0,2025-01-01 12:28:01,Review submission,8,850,100.0,Reviewer,Review submission
1005,C00134_r1,2025-01-01 12:28:01,Submit application,2,142,45.0,Junior Staff,Submit application
1006,C00134_r1,2025-01-01 12:28:02,Review submission,8,850,100.0,Reviewer,Review submission
1007,C00134_r2,2025-01-01 12:28:02,Submit application,2,142,45.0,Junior Staff,Submit application
1008,C00134_r2,2025-01-01 12:28:03,Review submission,8,850,100.0,Reviewer,Review submission
1009,C00134_r0,2025-01-01 12:29:00,Approve application,2,130,20.0,Manager,Approve application
1010,C00134_r1,2025-01-01 12:29:01,Approve application,2,130,20.0,Manager,Approve application
1011,C00134_r0,2025-01-01 12:29:01,Complete process,0,0,0.0,System,Complete process
1012,C00134_r2,2025-01-01 12:29:02,Disapprove application,2,130,20.0,review_board,Disapprove application
1013,C00134_r1,2025-01-01 12:29:02,Complete process,0,0,0.0,System,Complete process
1014,C00134_r2,2025-01-01 12:29:03,Revise document,8,932,182.0,Supervisor,Revise document
1015,C00134_r2,2025-01-01 12:29:04,Submit application,9,8020,220.7,Supervisor,Submit application
1016,C00134_r2,2025-01-01 12:29:05,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
1017,C00134_r2,2025-01-01 12:29:06,Complete process,0,0,0.0,System,Complete process
1018,C00136_r0,2025-01-01 12:30:00,Start process,5,10,10.0,System,Start process
1019,C00136_r1,2025-01-01 12:30:01,Start process,5,10,10.0,System,Start process
1020,C00136_r2,2025-01-01 12:30:02,Start process,5,10,10.0,System,Start process
1021,C00136_r0,2025-01-01 12:31:00,Check document,2,120,30.0,Clerk,Check document
1022,C00136_r1,2025-01-01 12:31:01,Check document,2,120,30.0,Clerk,Check document
1023,C00136_r2,2025-01-01 12:31:02,Check document,2,120,30.0,Clerk,Check document
1024,C00136_r0,2025-01-01 12:32:00,Submit application,2,92,44.0,Junior Staff,Submit application
1025,C00136_r1,2025-01-01 12:32:01,Submit application,2,92,44.0,Junior Staff,Submit application
1026,C00136_r0,2025-01-01 12:32:01,Review submission,8,850,100.0,Reviewer,Review submission
1027,C00136_r2,2025-01-01 12:32:02,Submit application,2,92,44.0,Junior Staff,Submit application
1028,C00136_r1,2025-01-01 12:32:02,Review submission,8,850,100.0,Reviewer,Review submission
1029,C00136_r2,2025-01-01 12:32:03,Review submission,8,850,100.0,Reviewer,Review submission
1030,C00136_r0,2025-01-01 12:33:00,Disapprove application,2,130,20.0,review_board,Disapprove application
1031,C00136_r1,2025-01-01 12:33:01,Approve application,2,130,20.0,Manager,Approve application
1032,C00136_r0,2025-01-01 12:33:01,Revise document,8,932,182.0,Supervisor,Revise document
1033,C00136_r1,2025-01-01 12:33:02,Complete process,0,0,0.0,System,Complete process
1034,C00136_r0,2025-01-01 12:33:02,Submit application,11,3783,236.9,Supervisor,Submit application
1035,C00136_r2,2025-01-01 12:33:02,Disapprove application,2,130,20.0,review_board,Disapprove application
1036,C00136_r0,2025-01-01 12:33:03,Accept submission,1,922,145.6,Head Manager Assistant,Accept submission
1037,C00136_r2,2025-01-01 12:33:03,Revise document,8,932,182.0,Supervisor,Revise document
1038,C00136_r0,2025-01-01 12:33:04,Complete process,0,0,0.0,System,Complete process
1039,C00136_r2,2025-01-01 12:33:04,Submit application,10,4981,243.7,Supervisor,Submit application
1040,C00136_r2,2025-01-01 12:33:05,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
1041,C00136_r2,2025-01-01 12:33:06,Complete process,0,0,0.0,System,Complete process
1042,C00139_r0,2025-01-01 12:36:00,Start process,5,10,10.0,System,Start process
1043,C00139_r1,2025-01-01 12:36:01,Start process,5,10,10.0,System,Start process
1044,C00139_r2,2025-01-01 12:36:02,Start process,5,10,10.0,System,Start process
1045,C00139_r0,2025-01-01 12:37:00,Check document,2,120,30.0,Clerk,Check document
1046,C00139_r1,2025-01-01 12:37:01,Check document,2,120,30.0,Clerk,Check document
1047,C00139_r2,2025-01-01 12:37:02,Check document,2,120,30.0,Clerk,Check document
1048,C00139_r0,2025-01-01 12:38:00,Submit application,3,124,44.0,Junior Staff,Submit application
1049,C00139_r0,2025-01-01 12:38:01,Review submission,8,850,100.0,Reviewer,Review submission
1050,C00139_r1,2025-01-01 12:38:01,Submit application,3,124,44.0,Junior Staff,Submit application
1051,C00139_r1,2025-01-01 12:38:02,Review submission,8,850,100.0,Reviewer,Review submission
1052,C00139_r2,2025-01-01 12:38:02,Submit application,3,124,44.0,Junior Staff,Submit application
1053,C00139_r2,2025-01-01 12:38:03,Review submission,8,850,100.0,Reviewer,Review submission
1054,C00139_r0,2025-01-01 12:39:00,Disapprove application,2,130,20.0,review_board,Disapprove application
1055,C00139_r1,2025-01-01 12:39:01,Approve application,2,130,20.0,Manager,Approve application
1056,C00139_r0,2025-01-01 12:39:01,Revise document,8,932,182.0,Supervisor,Revise document
1059,C00139_r2,2025-01-01 12:39:02,Approve application,2,130,20.0,Manager,Approve application
1057,C00139_r0,2025-01-01 12:39:02,Submit application,12,1988,190.8,Senior Analyst,Submit application
1058,C00139_r1,2025-01-01 12:39:02,Complete process,0,0,0.0,System,Complete process
1060,C00139_r2,2025-01-01 12:39:03,Complete process,0,0,0.0,System,Complete process
1061,C00139_r0,2025-01-01 12:39:03,Reject submission,1,922,145.6,Head Manager Assistant,Reject submission
1062,C00139_r0,2025-01-01 12:39:04,Complete process,0,0,0.0,System,Complete process
1063,C00142_r0,2025-01-01 12:42:00,Start process,5,10,10.0,System,Start process
1064,C00142_r1,2025-01-01 12:42:01,Start process,5,10,10.0,System,Start process
1065,C00142_r2,2025-01-01 12:42:02,Start process,5,10,10.0,System,Start process
1066,C00142_r0,2025-01-01 12:43:00,Check document,2,120,30.0,Clerk,Check document
1067,C00142_r1,2025-01-01 12:43:01,Check document,2,120,30.0,Clerk,Check document
1068,C00142_r2,2025-01-01 12:43:02,Check document,2,120,30.0,Clerk,Check document
1069,C00142_r0,2025-01-01 12:44:00,Submit application,2,136,42.0,Junior Staff,Submit application
1070,C00142_r1,2025-01-01 12:44:01,Submit application,2,136,42.0,Junior Staff,Submit application
1071,C00142_r0,2025-01-01 12:44:01,Review submission,8,850,100.0,Reviewer,Review submission
1072,C00142_r2,2025-01-01 12:44:02,Submit application,2,136,42.0,Junior Staff,Submit application
1073,C00142_r1,2025-01-01 12:44:02,Review submission,8,850,100.0,Reviewer,Review submission
1074,C00142_r2,2025-01-01 12:44:03,Review submission,8,850,100.0,Reviewer,Review submission
1075,C00142_r0,2025-01-01 12:45:00,Approve application,2,130,20.0,Manager,Approve application
1076,C00142_r1,2025-01-01 12:45:01,Approve application,2,130,20.0,Manager,Approve application
1077,C00142_r0,2025-01-01 12:45:01,Complete process,0,0,0.0,System,Complete process
1078,C00142_r2,2025-01-01 12:45:02,Approve application,2,130,20.0,Manager,Approve application
1079,C00142_r1,2025-01-01 12:45:02,Complete process,0,0,0.0,System,Complete process
1080,C00142_r2,2025-01-01 12:45:03,Complete process,0,0,0.0,System,Complete process
1081,C00146_r0,2025-01-01 12:50:00,Start process,5,10,10.0,System,Start process
1082,C00146_r1,2025-01-01 12:50:01,Start process,5,10,10.0,System,Start process
1083,C00146_r2,2025-01-01 12:50:02,Start process,5,10,10.0,System,Start process
1084,C00146_r0,2025-01-01 12:51:00,Check document,2,120,30.0,Clerk,Check document
1085,C00146_r1,2025-01-01 12:51:01,Check document,2,120,30.0,Clerk,Check document
1086,C00146_r2,2025-01-01 12:51:02,Check document,2,120,30.0,Clerk,Check document
1087,C00146_r0,2025-01-01 12:52:00,Submit application,2,128,42.0,Junior Staff,Submit application
1088,C00147_r0,2025-01-01 12:52:00,Start process,5,10,10.0,System,Start process
1090,C00146_r1,2025-01-01 12:52:01,Submit application,2,128,42.0,Junior Staff,Submit application
1091,C00146_r0,2025-01-01 12:52:01,Review submission,8,850,100.0,Reviewer,Review submission
1089,C00147_r1,2025-01-01 12:52:01,Start process,5,10,10.0,System,Start process
1092,C00147_r2,2025-01-01 12:52:02,Start process,5,10,10.0,System,Start process
1093,C00146_r1,2025-01-01 12:52:02,Review submission,8,850,100.0,Reviewer,Review submission
1094,C00146_r2,2025-01-01 12:52:02,Submit application,2,128,42.0,Junior Staff,Submit application
1095,C00146_r2,2025-01-01 12:52:03,Review submission,8,850,100.0,Reviewer,Review submission
1096,C00146_r0,2025-01-01 12:53:00,Approve application,2,130,20.0,Manager,Approve application
1097,C00147_r0,2025-01-01 12:53:00,Check document,2,120,30.0,Clerk,Check document
1098,C00147_r1,2025-01-01 12:53:01,Check document,2,120,30.0,Clerk,Check document
1099,C00146_r0,2025-01-01 12:53:01,Complete process,0,0,0.0,System,Complete process
1100,C00146_r1,2025-01-01 12:53:01,Approve application,2,130,20.0,Manager,Approve application
1101,C00147_r2,2025-01-01 12:53:02,Check document,2,120,30.0,Clerk,Check document
1102,C00146_r2,2025-01-01 12:53:02,Approve application,2,130,20.0,Manager,Approve application
1103,C00146_r1,2025-01-01 12:53:02,Complete process,0,0,0.0,System,Complete process
1104,C00146_r2,2025-01-01 12:53:03,Complete process,0,0,0.0,System,Complete process
1105,C00147_r0,2025-01-01 12:54:00,Submit application,3,98,47.0,Clerk,Submit application
1106,C00148_r0,2025-01-01 12:54:00,Start process,5,10,10.0,System,Start process
1107,C00148_r1,2025-01-01 12:54:01,Start process,5,10,10.0,System,Start process
1108,C00147_r1,2025-01-01 12:54:01,Submit application,3,98,47.0,Clerk,Submit application
1109,C00147_r0,2025-01-01 12:54:01,Review submission,8,850,100.0,Reviewer,Review submission
1110,C00148_r2,2025-01-01 12:54:02,Start process,5,10,10.0,System,Start process
1111,C00147_r1,2025-01-01 12:54:02,Review submission,8,850,100.0,Reviewer,Review submission
1112,C00147_r2,2025-01-01 12:54:02,Submit application,3,98,47.0,Clerk,Submit application
1113,C00147_r2,2025-01-01 12:54:03,Review submission,8,850,100.0,Reviewer,Review submission
1114,C00148_r0,2025-01-01 12:55:00,Check document,2,120,30.0,Clerk,Check document
1115,C00147_r0,2025-01-01 12:55:00,Disapprove application,2,130,20.0,review_board,Disapprove application
1116,C00147_r1,2025-01-01 12:55:01,Approve application,2,130,20.0,Manager,Approve application
1117,C00147_r0,2025-01-01 12:55:01,Revise document,8,932,182.0,Supervisor,Revise document
1118,C00148_r1,2025-01-01 12:55:01,Check document,2,120,30.0,Clerk,Check document
1119,C00147_r2,2025-01-01 12:55:02,Approve application,2,130,20.0,Manager,Approve application
1120,C00147_r0,2025-01-01 12:55:02,Submit application,11,9292,192.8,Senior Analyst,Submit application
1121,C00148_r2,2025-01-01 12:55:02,Check document,2,120,30.0,Clerk,Check document
