Case,Activity,Timestamp,Resource,Injection,org,EventID
33,prepare order,2024-05-07 18:17:56.526,Cook-000003,homonymous Label(Activity:'Prepare main course'),Prepare main course,322
30,Deliver to customer,2024-05-07 18:20:28.927,Waiter-000002,,Deliver to customer,323
33,bring order,2024-05-07 18:21:22.273,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,324
29,Signal food complete,2024-05-07 18:21:45.630,Cook-000001,,Signal food complete,325
33,Signal food complete,2024-05-07 18:22:48.632,Cook-000003,,Signal food complete,326
30,EVENT 8 END,2024-05-07 18:25:08.823,,,EVENT 8 END,327
33,review,2024-05-07 18:29:43.574,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,328
34,start,2024-05-07 18:30:00.000,,,start,329
34,Take order,2024-05-07 18:30:00.000,Waiter-000005,,Take order,330
32,Bring food,2024-05-07 18:34:29.798,Cook helper-000003,,Bring food,331
34,Review order,2024-05-07 18:35:56.170,Waiter-000003,,Review order,332
34,prepare order,2024-05-07 18:36:20.314,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,333
34,prepare order,2024-05-07 18:36:20.314,Cook-000002,homonymous Label(Activity:'Prepare main course'),Prepare main course,334
29,Bring food,2024-05-07 18:40:37.461,Cook helper-000001,,Bring food,335
34,Signal food complete,2024-05-07 18:44:45.959,Cook-000001,,Signal food complete,336
35,start,2024-05-07 18:45:00.000,,,start,337
35,Take order,2024-05-07 18:45:00.000,Waiter-000004,,Take order,338
32,Deliver to customer,2024-05-07 18:45:42.527,Waiter-000002,,Deliver to customer,339
35,review,2024-05-07 18:46:56.495,Waiter-000001,homonymous Label(Activity:'Review order'),Review order,340
35,prepare order,2024-05-07 18:47:51.586,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,341
35,prepare order,2024-05-07 18:47:51.586,Cook helper-000002,homonymous Label(Activity:'Prepare starter'),Prepare starter,342
35,prepare order,2024-05-07 18:47:51.586,Cook-000002,homonymous Label(Activity:'Prepare main course'),Prepare main course,343
32,EVENT 8 END,2024-05-07 18:48:00.946,,,EVENT 8 END,344
35,Bring drinks,2024-05-07 18:49:02.905,Barman-000001,,Bring drinks,345
35,Signal food complete,2024-05-07 18:49:50.930,Cook-000002,,Signal food complete,346
35,review,2024-05-07 18:50:00.157,Waiter-000005,homonymous Label(Activity:'Review drinks'),Review drinks,347
29,Deliver to customer,2024-05-07 18:54:14.217,Waiter-000003,,Deliver to customer,348
34,bring order,2024-05-07 18:55:47.328,Cook helper-000003,homonymous Label(Activity:'Bring food'),Bring food,349
29,EVENT 8 END,2024-05-07 18:58:35.264,,,EVENT 8 END,350
36,Take order,2024-05-07 19:00:00.000,Waiter-000004,,Take order,351
36,start,2024-05-07 19:00:00.000,,,start,352
34,bring order,2024-05-07 19:00:02.900,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,353
36,Review order,2024-05-07 19:00:10.624,Waiter-000001,,Review order,354
36,prepare order,2024-05-07 19:02:05.026,Cook-000001,homonymous Label(Activity:'Prepare main course'),Prepare main course,355
36,prepare drinks,2024-05-07 19:02:05.026,Barman-000001,,prepare drinks,356
33,bring order,2024-05-07 19:03:29.344,Cook helper-000002,homonymous Label(Activity:'Bring food'),Bring food,357
34,review,2024-05-07 19:05:19.235,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,358
34,Deliver to customer,2024-05-07 19:05:23.021,Waiter-000005,,Deliver to customer,359
33,Deliver to customer,2024-05-07 19:07:38.867,Waiter-000003,,Deliver to customer,360
34,EVENT 8 END,2024-05-07 19:07:57.788,,,EVENT 8 END,361
33,EVENT 8 END,2024-05-07 19:08:48.121,,,EVENT 8 END,362
36,Bring drinks,2024-05-07 19:09:35.384,Barman-000003,,Bring drinks,363
37,start,2024-05-07 19:15:00.000,,,start,364
37,Take order,2024-05-07 19:15:00.000,Waiter-000004,,Take order,365
37,review,2024-05-07 19:15:30.919,Waiter-000001,homonymous Label(Activity:'Review order'),Review order,366
37,prepare drinks,2024-05-07 19:16:39.325,Barman-000002,,prepare drinks,367
37,Prepare main course,2024-05-07 19:16:39.325,Cook-000003,,Prepare main course,368
36,review,2024-05-07 19:18:15.401,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,369
36,Signal food complete,2024-05-07 19:19:00.179,Cook-000001,,Signal food complete,370
37,Bring drinks,2024-05-07 19:20:46.823,Barman-000001,,Bring drinks,371
36,Bring food,2024-05-07 19:24:23.962,Cook helper-000001,,Bring food,372
38,Take order,2024-05-07 19:30:00.000,Waiter-000005,,Take order,373
38,start,2024-05-07 19:30:00.000,,,start,374
38,review,2024-05-07 19:30:00.900,Waiter-000003,homonymous Label(Activity:'Review order'),Review order,375
38,prepare order,2024-05-07 19:31:10.392,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,376
38,prepare order,2024-05-07 19:31:10.392,Cook-000001,homonymous Label(Activity:'Prepare main course'),Prepare main course,377
36,Deliver to customer,2024-05-07 19:32:49.593,Waiter-000004,,Deliver to customer,378
36,EVENT 8 END,2024-05-07 19:33:45.919,,,EVENT 8 END,379
38,Bring drinks,2024-05-07 19:41:06.288,Barman-000002,,Bring drinks,380
37,Signal food complete,2024-05-07 19:41:42.479,Cook-000003,,Signal food complete,381
37,Bring food,2024-05-07 19:42:33.343,Cook helper-000003,,Bring food,382
38,Review drinks,2024-05-07 19:43:25.758,Waiter-000001,,Review drinks,383
37,review,2024-05-07 19:46:20.821,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,384
37,prepare order,2024-05-07 19:46:24.535,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,385
37,Bring drinks,2024-05-07 19:49:18.043,Barman-000001,,Bring drinks,386
37,review,2024-05-07 19:51:39.396,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,387
37,Deliver to customer,2024-05-07 19:51:55.052,Waiter-000001,,Deliver to customer,388
38,Signal food complete,2024-05-07 19:52:24.593,Cook-000001,,Signal food complete,389
37,EVENT 8 END,2024-05-07 19:53:08.138,,,EVENT 8 END,390
40,start,2024-05-07 20:00:00.000,,,start,391
40,Take order,2024-05-07 20:00:00.000,Waiter-000002,,Take order,392
35,Bring food,2024-05-07 20:05:05.234,Cook helper-000001,,Bring food,393
40,review,2024-05-07 20:05:53.148,Waiter-000003,homonymous Label(Activity:'Review order'),Review order,394
40,prepare order,2024-05-07 20:07:28.839,Barman-000001,homonymous Label(Activity:'prepare drinks'),prepare drinks,395
40,Prepare starter,2024-05-07 20:07:28.839,Cook helper-000002,,Prepare starter,396
40,Bring drinks,2024-05-07 20:09:16.941,Barman-000003,,Bring drinks,397
40,Signal food complete,2024-05-07 20:09:54.860,Cook-000002,,Signal food complete,398
35,Deliver to customer,2024-05-07 20:10:32.380,Waiter-000004,,Deliver to customer,399
35,EVENT 8 END,2024-05-07 20:11:11.160,,,EVENT 8 END,400
40,bring order,2024-05-07 20:14:23.101,Cook helper-000002,homonymous Label(Activity:'Bring food'),Bring food,401
42,Take order,2024-05-07 20:30:00.000,Waiter-000004,,Take order,402
42,start,2024-05-07 20:30:00.000,,,start,403
42,Review order,2024-05-07 20:30:02.317,Waiter-000001,,Review order,404
42,prepare order,2024-05-07 20:30:20.883,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,405
42,Prepare main course,2024-05-07 20:30:20.883,Cook-000002,,Prepare main course,406
40,Review drinks,2024-05-07 20:31:38.339,Waiter-000005,,Review drinks,407
42,bring order,2024-05-07 20:31:43.668,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,408
42,Review drinks,2024-05-07 20:32:08.687,Waiter-000002,,Review drinks,409
40,prepare drinks,2024-05-07 20:33:59.247,Barman-000003,,prepare drinks,410
42,Signal food complete,2024-05-07 20:36:05.279,Cook-000002,,Signal food complete,411
40,Bring drinks,2024-05-07 20:37:48.724,Barman-000002,,Bring drinks,412
40,review,2024-05-07 20:39:03.441,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,413
40,Deliver to customer,2024-05-07 20:40:44.292,Waiter-000004,,Deliver to customer,414
40,EVENT 8 END,2024-05-07 20:41:52.657,,,EVENT 8 END,415
43,Take order,2024-05-07 20:45:00.000,Waiter-000001,,Take order,416
43,start,2024-05-07 20:45:00.000,,,start,417
43,Review order,2024-05-07 20:46:24.465,Waiter-000002,,Review order,418
43,prepare drinks,2024-05-07 20:46:54.682,Barman-000001,,prepare drinks,419
43,Prepare main course,2024-05-07 20:49:11.531,Cook-000002,,Prepare main course,420
42,bring order,2024-05-07 20:49:11.531,Cook helper-000001,homonymous Label(Activity:'Bring food'),Bring food,421
42,Deliver to customer,2024-05-07 20:52:38.281,Waiter-000005,,Deliver to customer,422
38,Bring food,2024-05-07 20:54:28.530,Cook helper-000003,,Bring food,423
38,Deliver to customer,2024-05-07 20:55:39.567,Waiter-000003,,Deliver to customer,424
42,EVENT 8 END,2024-05-07 20:55:42.452,,,EVENT 8 END,425
38,EVENT 8 END,2024-05-07 20:58:21.392,,,EVENT 8 END,426
44,Take order,2024-05-07 21:00:00.000,Waiter-000004,,Take order,427
44,start,2024-05-07 21:00:00.000,,,start,428
44,Review order,2024-05-07 21:00:38.284,Waiter-000001,,Review order,429
44,prepare drinks,2024-05-07 21:01:37.145,Barman-000003,,prepare drinks,430
44,Prepare starter,2024-05-07 21:01:37.145,Cook helper-000002,,Prepare starter,431
44,Prepare main course,2024-05-07 21:01:37.145,Cook-000001,,Prepare main course,432
43,Bring drinks,2024-05-07 21:10:01.213,Barman-000002,,Bring drinks,433
43,Review drinks,2024-05-07 21:11:18.960,Waiter-000002,,Review drinks,434
43,prepare drinks,2024-05-07 21:11:21.898,Barman-000001,,prepare drinks,435
44,Bring drinks,2024-05-07 21:13:08.407,Barman-000002,,Bring drinks,436
43,bring order,2024-05-07 21:13:47.037,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,437
43,review,2024-05-07 21:16:31.588,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,438
43,prepare drinks,2024-05-07 21:18:20.495,Barman-000001,,prepare drinks,439
44,review,2024-05-07 21:23:02.234,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,440
43,bring order,2024-05-07 21:23:13.438,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,441
44,prepare drinks,2024-05-07 21:24:49.786,Barman-000002,,prepare drinks,442
44,bring order,2024-05-07 21:26:51.808,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,443
44,Review drinks,2024-05-07 21:27:00.479,Waiter-000005,,Review drinks,444
44,Signal food complete,2024-05-07 21:27:51.415,Cook-000002,,Signal food complete,445
44,prepare order,2024-05-07 21:29:20.904,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,446
44,Bring drinks,2024-05-07 21:29:31.321,Barman-000001,,Bring drinks,447
43,Review drinks,2024-05-07 21:29:41.375,Waiter-000003,,Review drinks,448
46,Take order,2024-05-07 21:30:00.000,Waiter-000001,,Take order,449
46,start,2024-05-07 21:30:00.000,,,start,450
43,Signal food complete,2024-05-07 21:30:32.953,Cook-000001,,Signal food complete,451
46,review,2024-05-07 21:32:04.273,Waiter-000004,homonymous Label(Activity:'Review order'),Review order,452
44,review,2024-05-07 21:32:13.116,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,453
46,prepare drinks,2024-05-07 21:32:23.620,Barman-000002,,prepare drinks,454
46,Prepare starter,2024-05-07 21:32:23.620,Cook helper-000001,,Prepare starter,455
44,prepare drinks,2024-05-07 21:32:39.430,Barman-000003,,prepare drinks,456
44,Bring food,2024-05-07 21:33:44.526,Cook helper-000003,,Bring food,457
44,bring order,2024-05-07 21:44:00.209,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,458
46,Signal food complete,2024-05-07 21:44:22.936,Cook-000003,,Signal food complete,459
47,start,2024-05-07 21:45:00.000,,,start,460
47,Take order,2024-05-07 21:45:00.000,Waiter-000003,,Take order,461
47,review,2024-05-07 21:45:46.889,Waiter-000001,homonymous Label(Activity:'Review order'),Review order,462
47,prepare order,2024-05-07 21:46:38.647,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,463
47,prepare order,2024-05-07 21:46:38.647,Cook helper-000002,homonymous Label(Activity:'Prepare starter'),Prepare starter,464
47,bring order,2024-05-07 21:46:49.457,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,465
44,review,2024-05-07 21:47:02.622,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,466
44,Deliver to customer,2024-05-07 21:47:06.829,Waiter-000002,,Deliver to customer,467
44,EVENT 8 END,2024-05-07 21:48:48.729,,,EVENT 8 END,468
46,Bring drinks,2024-05-07 21:49:50.734,Barman-000001,,Bring drinks,469
47,review,2024-05-07 21:50:27.958,Waiter-000005,homonymous Label(Activity:'Review drinks'),Review drinks,470
47,prepare drinks,2024-05-07 21:50:32.263,Barman-000002,,prepare drinks,471
46,review,2024-05-07 21:51:10.438,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,472
47,Signal food complete,2024-05-07 21:51:21.311,Cook-000001,,Signal food complete,473
43,Bring food,2024-05-07 21:51:21.311,Cook helper-000003,,Bring food,474
47,bring order,2024-05-07 21:55:04.803,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,475
48,Take order,2024-05-07 22:00:00.000,Waiter-000001,,Take order,476
48,start,2024-05-07 22:00:00.000,,,start,477
47,Review drinks,2024-05-07 22:02:34.237,Waiter-000004,,Review drinks,478
47,prepare order,2024-05-07 22:03:24.067,Barman-000001,homonymous Label(Activity:'prepare drinks'),prepare drinks,479
48,Review order,2024-05-07 22:04:26.452,Waiter-000002,,Review order,480
47,Bring drinks,2024-05-07 22:04:55.351,Barman-000002,,Bring drinks,481
48,prepare order,2024-05-07 22:05:26.815,Cook-000002,homonymous Label(Activity:'Prepare main course'),Prepare main course,482
48,Prepare starter,2024-05-07 22:05:26.815,Cook helper-000002,,Prepare starter,483
48,prepare drinks,2024-05-07 22:05:26.815,Barman-000003,,prepare drinks,484
47,Review drinks,2024-05-07 22:05:32.877,Waiter-000003,,Review drinks,485
43,Deliver to customer,2024-05-07 22:07:45.789,Waiter-000004,,Deliver to customer,486
43,EVENT 8 END,2024-05-07 22:09:41.507,,,EVENT 8 END,487
47,bring order,2024-05-07 22:11:30.576,Cook helper-000001,homonymous Label(Activity:'Bring food'),Bring food,488
48,Bring drinks,2024-05-07 22:12:30.759,Barman-000001,,Bring drinks,489
47,Deliver to customer,2024-05-07 22:13:54.783,Waiter-000001,,Deliver to customer,490
46,Bring food,2024-05-07 22:14:18.790,Cook helper-000002,,Bring food,491
48,Review drinks,2024-05-07 22:14:50.245,Waiter-000002,,Review drinks,492
49,start,2024-05-07 22:15:00.000,,,start,493
49,Take order,2024-05-07 22:15:00.000,Waiter-000005,,Take order,494
46,Deliver to customer,2024-05-07 22:15:16.349,Waiter-000003,,Deliver to customer,495
49,review,2024-05-07 22:15:31.707,Waiter-000004,homonymous Label(Activity:'Review order'),Review order,496
46,EVENT 8 END,2024-05-07 22:15:35.203,,,EVENT 8 END,497
47,EVENT 8 END,2024-05-07 22:18:08.494,,,EVENT 8 END,498
49,prepare order,2024-05-07 22:20:03.516,Cook-000001,homonymous Label(Activity:'Prepare main course'),Prepare main course,499
49,prepare drinks,2024-05-07 22:20:03.516,Barman-000002,,prepare drinks,500
50,start,2024-05-07 22:30:00.000,,,start,501
50,Take order,2024-05-07 22:30:00.000,Waiter-000002,,Take order,502
50,Review order,2024-05-07 22:30:34.570,Waiter-000005,,Review order,503
50,prepare order,2024-05-07 22:31:13.342,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,505
50,prepare order,2024-05-07 22:31:13.342,Cook-000003,homonymous Label(Activity:'Prepare main course'),Prepare main course,504
50,Signal food complete,2024-05-07 22:32:37.021,Cook-000003,,Signal food complete,506
50,Bring drinks,2024-05-07 22:34:31.337,Barman-000001,,Bring drinks,507
49,bring order,2024-05-07 22:39:21.725,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,508
49,Signal food complete,2024-05-07 22:39:28.045,Cook-000001,,Signal food complete,509
50,bring order,2024-05-07 22:39:55.230,Cook helper-000003,homonymous Label(Activity:'Bring food'),Bring food,510
49,review,2024-05-07 22:40:01.039,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,511
48,Signal food complete,2024-05-07 22:40:42.660,Cook-000003,,Signal food complete,512
50,Review drinks,2024-05-07 22:41:46.198,Waiter-000001,,Review drinks,513
50,prepare drinks,2024-05-07 22:42:08.864,Barman-000002,,prepare drinks,514
51,Take order,2024-05-07 22:45:00.000,Waiter-000004,,Take order,515
51,start,2024-05-07 22:45:00.000,,,start,516
48,Bring food,2024-05-07 22:47:22.568,Cook helper-000001,,Bring food,517
51,review,2024-05-07 22:47:34.500,Waiter-000002,homonymous Label(Activity:'Review order'),Review order,518
51,prepare order,2024-05-07 22:47:34.715,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,519
51,Prepare main course,2024-05-07 22:47:34.715,Cook-000002,,Prepare main course,520
51,Bring drinks,2024-05-07 22:47:43.286,Barman-000001,,Bring drinks,521
50,Bring drinks,2024-05-07 22:49:57.078,Barman-000003,,Bring drinks,522
48,Deliver to customer,2024-05-07 22:50:03.798,Waiter-000005,,Deliver to customer,523
48,EVENT 8 END,2024-05-07 22:50:09.105,,,EVENT 8 END,524
50,Review drinks,2024-05-07 22:51:31.451,Waiter-000003,,Review drinks,525
51,review,2024-05-07 22:51:32.069,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,526
50,prepare drinks,2024-05-07 22:52:05.085,Barman-000002,,prepare drinks,527
49,Bring food,2024-05-07 22:52:06.734,Cook helper-000002,,Bring food,528
50,bring order,2024-05-07 22:55:54.770,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,529
50,review,2024-05-07 22:56:39.645,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,530
50,Deliver to customer,2024-05-07 22:57:18.464,Waiter-000002,,Deliver to customer,531
50,EVENT 8 END,2024-05-07 22:58:20.414,,,EVENT 8 END,532
52,start,2024-05-07 23:00:00.000,,,start,533
52,Take order,2024-05-07 23:00:00.000,Waiter-000005,,Take order,534
49,Deliver to customer,2024-05-07 23:00:01.097,Waiter-000003,,Deliver to customer,535
52,review,2024-05-07 23:00:29.121,Waiter-000001,homonymous Label(Activity:'Review order'),Review order,536
52,prepare drinks,2024-05-07 23:00:56.114,Barman-000001,,prepare drinks,537
52,Prepare starter,2024-05-07 23:00:56.114,Cook helper-000003,,Prepare starter,538
52,Prepare main course,2024-05-07 23:00:56.114,Cook-000003,,Prepare main course,539
49,EVENT 8 END,2024-05-07 23:01:37.626,,,EVENT 8 END,540
52,Bring drinks,2024-05-07 23:04:41.125,Barman-000002,,Bring drinks,541
52,Review drinks,2024-05-07 23:05:05.026,Waiter-000004,,Review drinks,542
51,Signal food complete,2024-05-07 23:17:25.152,Cook-000001,,Signal food complete,543
51,Bring food,2024-05-07 23:35:40.944,Cook helper-000001,,Bring food,544
51,Deliver to customer,2024-05-07 23:38:04.266,Waiter-000002,,Deliver to customer,545
51,EVENT 8 END,2024-05-07 23:39:57.799,,,EVENT 8 END,546
55,Take order,2024-05-07 23:45:00.000,Waiter-000003,,Take order,547
55,start,2024-05-07 23:45:00.000,,,start,548
55,review,2024-05-07 23:47:24.436,Waiter-000005,homonymous Label(Activity:'Review order'),Review order,549
55,prepare order,2024-05-07 23:47:37.021,Cook-000001,homonymous Label(Activity:'Prepare main course'),Prepare main course,550
55,prepare drinks,2024-05-07 23:47:37.021,Barman-000002,,prepare drinks,551
55,Bring drinks,2024-05-07 23:48:13.185,Barman-000001,,Bring drinks,552
55,Signal food complete,2024-05-07 23:50:11.562,Cook-000001,,Signal food complete,553
55,Bring food,2024-05-07 23:50:32.829,Cook helper-000003,,Bring food,554
55,review,2024-05-07 23:52:43.587,Waiter-000003,homonymous Label(Activity:'Review drinks'),Review drinks,555
55,Deliver to customer,2024-05-07 23:57:28.759,Waiter-000005,,Deliver to customer,556
55,EVENT 8 END,2024-05-07 23:58:28.858,,,EVENT 8 END,557
56,Take order,2024-05-08 00:00:00.000,Waiter-000002,,Take order,558
56,start,2024-05-08 00:00:00.000,,,start,559
56,review,2024-05-08 00:00:06.420,Waiter-000004,homonymous Label(Activity:'Review order'),Review order,560
52,Signal food complete,2024-05-08 00:00:48.900,Cook-000001,,Signal food complete,561
56,prepare order,2024-05-08 00:01:06.541,Cook-000003,homonymous Label(Activity:'Prepare main course'),Prepare main course,562
56,prepare drinks,2024-05-08 00:01:06.541,Barman-000003,,prepare drinks,563
56,Signal food complete,2024-05-08 00:04:10.873,Cook-000003,,Signal food complete,564
56,Bring food,2024-05-08 00:06:50.052,Cook helper-000001,,Bring food,565
56,Bring drinks,2024-05-08 00:06:56.879,Barman-000002,,Bring drinks,566
56,Review drinks,2024-05-08 00:08:23.918,Waiter-000001,,Review drinks,567
56,Deliver to customer,2024-05-08 00:09:05.848,Waiter-000003,,Deliver to customer,568
56,EVENT 8 END,2024-05-08 00:09:18.690,,,EVENT 8 END,569
57,Take order,2024-05-08 00:15:00.000,Waiter-000005,,Take order,570
57,start,2024-05-08 00:15:00.000,,,start,571
57,review,2024-05-08 00:17:12.713,Waiter-000002,homonymous Label(Activity:'Review order'),Review order,572
57,prepare order,2024-05-08 00:17:46.411,Cook helper-000002,homonymous Label(Activity:'Prepare starter'),Prepare starter,573
57,prepare drinks,2024-05-08 00:17:46.411,Barman-000001,,prepare drinks,574
57,bring order,2024-05-08 00:17:53.988,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,575
57,Signal food complete,2024-05-08 00:19:29.803,Cook-000003,,Signal food complete,576
57,bring order,2024-05-08 00:21:07.502,Cook helper-000003,homonymous Label(Activity:'Bring food'),Bring food,577
57,review,2024-05-08 00:27:03.116,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,578
57,prepare drinks,2024-05-08 00:28:27.380,Barman-000002,,prepare drinks,579
57,bring order,2024-05-08 00:34:35.651,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,580
52,bring order,2024-05-08 00:38:03.552,Cook helper-000003,homonymous Label(Activity:'Bring food'),Bring food,581
59,start,2024-05-08 00:45:00.000,,,start,583
59,Take order,2024-05-08 00:45:00.000,Waiter-000004,,Take order,582
59,Review order,2024-05-08 00:47:19.753,Waiter-000003,,Review order,584
59,Prepare main course,2024-05-08 00:47:33.437,Cook-000002,,Prepare main course,585
59,prepare drinks,2024-05-08 00:47:33.437,Barman-000002,,prepare drinks,586
57,review,2024-05-08 00:48:16.802,Waiter-000005,homonymous Label(Activity:'Review drinks'),Review drinks,587
57,prepare order,2024-05-08 00:50:13.126,Barman-000001,homonymous Label(Activity:'prepare drinks'),prepare drinks,588
57,Bring drinks,2024-05-08 00:51:51.764,Barman-000003,,Bring drinks,589
52,Deliver to customer,2024-05-08 00:52:36.984,Waiter-000001,,Deliver to customer,590
52,EVENT 8 END,2024-05-08 00:52:44.943,,,EVENT 8 END,591
59,bring order,2024-05-08 00:52:48.326,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,592
57,Review drinks,2024-05-08 00:59:35.993,Waiter-000004,,Review drinks,593
57,Deliver to customer,2024-05-08 01:00:26.578,Waiter-000002,,Deliver to customer,594
57,EVENT 8 END,2024-05-08 01:00:40.525,,,EVENT 8 END,595
59,review,2024-05-08 01:07:27.384,Waiter-000001,homonymous Label(Activity:'Review drinks'),Review drinks,596
59,Signal food complete,2024-05-08 01:10:05.984,Cook-000002,,Signal food complete,597
59,bring order,2024-05-08 01:20:05.285,Cook helper-000001,homonymous Label(Activity:'Bring food'),Bring food,598
62,Take order,2024-05-08 01:30:00.000,Waiter-000003,,Take order,599
62,start,2024-05-08 01:30:00.000,,,start,600
62,Review order,2024-05-08 01:31:05.114,Waiter-000001,,Review order,601
59,Deliver to customer,2024-05-08 01:31:08.518,Waiter-000004,,Deliver to customer,602
62,prepare drinks,2024-05-08 01:31:22.555,Barman-000003,,prepare drinks,603
59,EVENT 8 END,2024-05-08 01:31:43.712,,,EVENT 8 END,604
62,bring order,2024-05-08 01:39:40.755,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,605
62,Review drinks,2024-05-08 01:39:52.824,Waiter-000002,,Review drinks,606
62,Prepare main course,2024-05-08 01:40:48.124,Cook-000002,,Prepare main course,607
62,prepare drinks,2024-05-08 01:42:17.766,Barman-000001,,prepare drinks,608
63,Take order,2024-05-08 01:45:00.000,Waiter-000003,,Take order,609
63,start,2024-05-08 01:45:00.000,,,start,610
62,Bring drinks,2024-05-08 01:46:11.041,Barman-000003,,Bring drinks,611
63,Review order,2024-05-08 01:47:12.768,Waiter-000001,,Review order,612
63,prepare order,2024-05-08 01:49:13.154,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,613
63,bring order,2024-05-08 01:54:13.351,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,614
63,Prepare main course,2024-05-08 01:55:26.353,Cook-000002,,Prepare main course,615
62,review,2024-05-08 01:56:29.765,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,616
63,review,2024-05-08 01:56:47.306,Waiter-000002,homonymous Label(Activity:'Review drinks'),Review drinks,617
62,Signal food complete,2024-05-08 01:58:39.545,Cook-000003,,Signal food complete,618
62,prepare order,2024-05-08 01:58:51.966,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,619
62,Bring food,2024-05-08 18:03:29.410,Cook helper-000002,,Bring food,620
62,bring order,2024-05-08 18:06:51.209,Barman-000003,homonymous Label(Activity:'Bring drinks'),Bring drinks,621
63,Signal food complete,2024-05-08 18:12:46.966,Cook-000002,,Signal food complete,622
62,review,2024-05-08 18:13:29.511,Waiter-000004,homonymous Label(Activity:'Review drinks'),Review drinks,623
62,Deliver to customer,2024-05-08 18:13:33.433,Waiter-000005,,Deliver to customer,624
65,start,2024-05-08 18:15:00.000,,,start,625
65,Take order,2024-05-08 18:15:00.000,Waiter-000003,,Take order,626
62,EVENT 8 END,2024-05-08 18:15:43.137,,,EVENT 8 END,627
65,Review order,2024-05-08 18:16:15.488,Waiter-000001,,Review order,628
65,prepare order,2024-05-08 18:16:59.216,Barman-000001,homonymous Label(Activity:'prepare drinks'),prepare drinks,629
65,Prepare main course,2024-05-08 18:19:21.990,Cook-000003,,Prepare main course,630
65,bring order,2024-05-08 18:21:12.196,Barman-000002,homonymous Label(Activity:'Bring drinks'),Bring drinks,631
65,Review drinks,2024-05-08 18:26:18.807,Waiter-000002,,Review drinks,632
65,prepare order,2024-05-08 18:28:20.572,Barman-000003,homonymous Label(Activity:'prepare drinks'),prepare drinks,633
65,bring order,2024-05-08 18:29:15.951,Barman-000001,homonymous Label(Activity:'Bring drinks'),Bring drinks,634
66,Take order,2024-05-08 18:30:00.000,Waiter-000004,,Take order,635
66,start,2024-05-08 18:30:00.000,,,start,636
65,review,2024-05-08 18:31:03.910,Waiter-000005,homonymous Label(Activity:'Review drinks'),Review drinks,637
66,Review order,2024-05-08 18:31:05.308,Waiter-000003,,Review order,638
66,prepare order,2024-05-08 18:31:33.806,Barman-000002,homonymous Label(Activity:'prepare drinks'),prepare drinks,639
65,prepare drinks,2024-05-08 18:32:04.522,Barman-000003,,prepare drinks,640
65,Bring drinks,2024-05-08 18:32:46.281,Barman-000001,,Bring drinks,641
66,Bring drinks,2024-05-08 18:33:13.388,Barman-000003,,Bring drinks,642
